"Rk,Player,WS,WS,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional"
"518,Brian Shaw,2.2,2.2,1988-89,22,BOS,82,54,2301,297,686,297,673,0,13,109,132,119,257,376,472,78,27,188,211,703,.433,.441,.000,.826,.472,.433,G,shawbr01"
"519,Bruce Bowen,2.2,2.2,1997-98,26,BOS,61,9,1305,122,298,102,239,20,59,76,122,79,95,174,81,87,29,52,174,340,.409,.427,.339,.623,.483,.443,F,bowenbr01"
"520,Steve Kuberski,2.2,2.2,1975-76,28,BOS,60,,882,128,274,128,274,,,68,76,86,148,234,44,11,11,,123,324,.467,.467,,.895,.527,.467,F-C,kuberst01"
"521,Don Barksdale,2.2,2.2,1954-55,31,BOS,72,,1790,267,699,267,699,,,220,338,,,545,129,,,,225,754,.382,.382,,.651,.445,.382,F-C,barksdo01"
"522,Scott Wedman,2.2,2.2,1984-85,32,BOS,78,5,1127,220,460,203,426,17,34,42,55,57,102,159,94,23,10,47,111,499,.478,.477,.500,.764,.515,.497,F-G,wedmasc01"
"523,Mark Acres,2.2,2.2,1987-88,25,BOS,79,5,1151,108,203,108,203,0,0,71,111,105,165,270,42,29,27,54,198,287,.532,.532,,.640,.570,.532,F-C,acresma01"
"524,Eric Williams,2.2,2.2,2000-01,28,BOS,81,11,1745,162,448,116,309,46,139,165,231,64,143,207,112,64,13,76,179,535,.362,.375,.331,.714,.487,.413,F,willier01"
"525,Jayson Tatum,2.1,2.1,2022-23,24,BOS,12,12,446,121,242,80,132,41,110,94,107,8,76,84,50,9,16,29,27,377,.500,.606,.373,.879,.652,.585,F,tatumja01"
"526,Jim Loscutoff,2.1,2.1,1956-57,26,BOS,70,,2220,306,888,306,888,,,132,187,,,730,89,,,,244,744,.345,.345,,.706,.383,.345,F,loscuji01"
"527,George Nostrand,2.1,2.1,1948-49,25,BOS,27,,,91,267,91,267,,,83,135,,,,38,,,,74,265,.341,.341,,.615,.406,.341,C-F,nostrge01"
"528,Kevin Gamble,2.1,2.1,1993-94,28,BOS,75,28,1880,368,804,343,701,25,103,103,126,41,118,159,149,57,22,77,134,864,.458,.489,.243,.817,.503,.473,F-G,gamblke01"
"529,Isaiah Thomas,2.1,2.1,2014-15,25,BOS,21,0,545,117,285,69,146,48,139,118,137,7,37,44,113,12,0,54,45,400,.411,.473,.345,.861,.579,.495,G,thomais02"
"530,Jim Barnes,2.1,2.1,1968-69,27,BOS,49,,595,92,202,92,202,,,65,92,,,194,27,,,,107,249,.455,.455,,.707,.513,.455,C-F,barneji01"
"531,Shammond Williams,2.1,2.1,2002-03,27,BOS,51,2,1169,134,338,78,179,56,159,48,57,12,98,110,128,61,3,61,84,372,.396,.436,.352,.842,.512,.479,G,willish01"
"532,Greg Minor,2.1,2.1,1994-95,23,BOS,63,8,945,155,301,153,289,2,12,65,78,49,88,137,66,32,16,44,89,377,.515,.529,.167,.833,.562,.518,G-F,minorgr01"
"533,Chris Ford,2.1,2.1,1981-82,33,BOS,76,53,1591,188,450,168,387,20,63,39,56,52,56,108,142,42,10,52,143,435,.418,.434,.317,.696,.458,.440,G-F,fordch01"
"534,Rick Fox,2.1,2.1,1992-93,23,BOS,71,14,1082,184,380,180,357,4,23,81,101,55,104,159,113,61,21,77,133,453,.484,.504,.174,.802,.534,.489,F-G,foxri01"
"535,Gene Stump,2.1,2.1,1948-49,25,BOS,56,,,193,580,193,580,,,92,129,,,,56,,,,102,478,.333,.333,,.713,.375,.333,F-G,stumpge01"
"536,Sam Jones,2.1,2.1,1957-58,24,BOS,56,,594,100,233,100,233,,,60,84,,,160,37,,,,42,260,.429,.429,,.714,.482,.429,G-F,jonessa01"
"537,Jonas Jerebko,2.1,2.1,2016-17,29,BOS,78,6,1232,114,262,69,132,45,130,26,37,59,213,272,71,25,17,39,122,299,.435,.523,.346,.703,.537,.521,F,jerebjo01"
"538,Gene Conley,2.1,2.1,1959-60,29,BOS,71,,1330,201,539,201,539,,,76,114,,,590,32,,,,270,478,.373,.373,,.667,.406,.373,C-F,conlege01"
"539,Bob Brannum,2.0,2.0,1951-52,25,BOS,66,,1324,149,404,149,404,,,107,171,,,406,76,,,,235,405,.369,.369,,.626,.423,.369,F-C,brannbo01"
"540,Robert Williams,2.0,2.0,2019-20,22,BOS,29,1,388,64,88,64,88,0,0,22,34,40,88,128,27,22,35,21,51,150,.727,.727,,.647,.728,.727,C-F,williro04"
"541,Jo Jo White,2.0,2.0,1969-70,23,BOS,60,,1328,309,684,309,684,,,111,135,,,169,145,,,,132,729,.452,.452,,.822,.490,.452,G,whitejo01"
"542,Jeff Green,2.0,2.0,2014-15,28,BOS,33,33,1093,206,475,159,321,47,154,121,144,21,120,141,53,27,13,56,66,580,.434,.495,.305,.840,.539,.483,F,greenje02"
"543,Marquis Daniels,2.0,2.0,2010-11,30,BOS,49,0,938,114,232,110,211,4,21,39,57,24,89,113,64,39,22,38,63,271,.491,.521,.190,.684,.527,.500,G-F,daniema01"
"544,Shelden Williams,2.0,2.0,2009-10,26,BOS,54,0,597,63,121,63,120,0,1,75,98,47,99,146,21,13,21,30,85,201,.521,.525,.000,.765,.612,.521,F,willish02"
"545,Greg Monroe,2.0,2.0,2017-18,27,BOS,26,0,496,105,198,105,198,0,0,55,69,53,112,165,59,28,17,48,48,265,.530,.530,,.797,.580,.530,C-F,monrogr01"
"546,Nenad Krstić,2.0,2.0,2010-11,27,BOS,24,20,553,79,147,79,147,0,0,60,80,47,81,128,8,8,8,23,77,218,.537,.537,,.750,.598,.537,C,krstine01"
"547,Joe Johnson,2.0,2.0,2001-02,20,BOS,48,33,1003,130,296,106,208,24,88,20,26,40,99,139,74,33,9,28,59,304,.439,.510,.273,.769,.494,.480,G-F,johnsjo02"
"548,Todd Day,2.0,2.0,1995-96,26,BOS,71,12,1636,277,746,182,469,95,277,200,261,62,140,202,102,77,48,98,198,849,.371,.388,.343,.766,.493,.435,G-F,dayto01"
"549,Jiří Welsch,1.9,1.9,2004-05,25,BOS,55,32,1125,137,320,105,221,32,99,109,141,20,119,139,84,39,5,58,105,415,.428,.475,.323,.773,.543,.478,G,welscji01"
"550,Chris Mihm,1.9,1.9,2003-04,24,BOS,54,16,939,127,254,127,254,0,0,76,118,109,164,273,11,28,41,65,150,330,.500,.500,,.644,.539,.500,C,mihmch01"
"551,John Bagley,1.9,1.9,1991-92,31,BOS,73,59,1742,223,506,213,464,10,42,68,95,38,123,161,480,57,4,148,123,524,.441,.459,.238,.716,.478,.451,G,baglejo01"
"552,Mark Blount,1.9,1.9,2000-01,25,BOS,64,50,1098,101,200,101,200,0,0,46,66,97,134,231,32,39,76,62,183,248,.505,.505,,.697,.541,.505,C,blounma01"
"553,Marcus Banks,1.9,1.9,2004-05,23,BOS,81,2,1145,115,286,94,227,21,59,121,163,29,97,126,155,63,13,79,146,372,.402,.414,.356,.742,.520,.439,G,banksma01"
"554,Em Bryant,1.9,1.9,1968-69,30,BOS,80,,1388,197,488,197,488,,,65,100,,,192,176,,,,264,459,.404,.404,,.650,.431,.404,G,bryanem01"
"555,Brady Walker,1.9,1.9,1949-50,28,BOS,68,,,218,583,218,583,,,72,114,,,,109,,,,100,508,.374,.374,,.632,.401,.374,F-C,walkebr01"
"556,Bob Harris,1.9,1.9,1953-54,26,BOS,71,,1898,156,409,156,409,,,108,172,,,517,94,,,,224,420,.381,.381,,.628,.433,.381,F-C,harribo01"
"557,Alaa Abdelnaby,1.9,1.9,1992-93,24,BOS,63,52,1152,219,417,219,417,0,0,76,100,114,186,300,17,19,22,84,165,514,.525,.525,,.760,.557,.525,F-C,abdelal01"
"558,Kevin Gamble,1.9,1.9,1989-90,24,BOS,71,10,990,137,301,134,283,3,18,85,107,42,70,112,119,28,8,44,77,362,.455,.473,.167,.794,.520,.460,F-G,gamblke01"
"559,Marcus Smart,1.9,1.9,2017-18,23,BOS,54,11,1614,189,515,114,266,75,249,97,133,43,146,189,259,71,23,129,133,550,.367,.429,.301,.729,.479,.440,G,smartma01"
"560,Bennie Swain,1.9,1.9,1958-59,25,BOS,58,,708,99,244,99,244,,,67,110,,,262,29,,,,127,265,.406,.406,,.609,.453,.406,F,swainbe01"
"561,Rick Robey,1.9,1.9,1981-82,26,BOS,80,4,1186,185,375,185,373,0,2,84,157,114,181,295,68,27,14,92,183,454,.493,.496,.000,.535,.511,.493,C-F,robeyri01"
"562,Tony Allen,1.9,1.9,2006-07,25,BOS,33,18,805,133,259,125,226,8,33,105,134,35,89,124,56,49,12,75,87,379,.514,.553,.242,.784,.596,.529,G-F,allento01"
"563,Fred Roberts,1.9,1.9,1987-88,27,BOS,74,14,1032,161,330,161,324,0,6,128,165,60,102,162,81,16,15,68,118,450,.488,.497,.000,.776,.559,.488,F-C,roberfr01"
"564,Tony Allen,1.9,1.9,2009-10,28,BOS,54,8,889,129,253,129,248,0,5,72,119,52,93,145,72,59,19,66,109,330,.510,.520,.000,.605,.540,.510,G-F,allento01"
"565,Semi Ojeleye,1.9,1.9,2019-20,25,BOS,69,6,1011,80,196,32,69,48,127,28,32,26,119,145,37,21,5,19,80,236,.408,.464,.378,.875,.562,.531,F,ojelese01"
"566,Rick Robey,1.8,1.8,1978-79,23,BOS,36,,914,182,378,182,378,,,84,103,88,171,259,79,23,3,75,121,448,.481,.481,,.816,.529,.481,C-F,robeyri01"
"567,Jeff Judkins,1.8,1.8,1979-80,23,BOS,65,0,674,139,276,128,249,11,27,62,76,32,34,66,47,29,5,49,91,351,.504,.514,.407,.816,.567,.524,G-F,judkije01"
"568,Danny Ainge,1.8,1.8,1983-84,24,BOS,71,3,1154,166,361,160,339,6,22,46,56,29,87,116,162,41,4,70,143,384,.460,.472,.273,.821,.498,.468,G,aingeda01"
"569,Walter McCarty,1.8,1.8,2001-02,27,BOS,56,0,718,80,180,41,81,39,99,13,19,32,96,128,41,18,7,22,83,212,.444,.506,.394,.684,.563,.553,F,mccarwa01"
"570,Milt Palacio,1.8,1.8,2000-01,22,BOS,58,6,1141,126,267,114,231,12,36,78,92,25,77,102,151,48,0,80,83,342,.472,.494,.333,.848,.556,.494,G,palacmi01"
"571,Vitaly Potapenko,1.8,1.8,1998-99,23,BOS,33,32,927,149,286,149,286,0,0,58,106,91,147,238,59,24,20,72,116,356,.521,.521,,.547,.535,.521,C,potapvi01"
"572,John Thompson,1.8,1.8,1964-65,23,BOS,64,,699,84,209,84,209,,,62,105,,,230,16,,,,141,230,.402,.402,,.590,.451,.402,F,thompjo01"
"573,Pervis Ellison,1.8,1.8,1994-95,27,BOS,55,11,1083,152,300,152,298,0,2,71,99,124,185,309,34,22,54,76,179,375,.507,.510,.000,.717,.546,.507,F-C,ellispe01"
"574,Derrick White,1.8,1.8,2021-22,27,BOS,26,4,713,94,230,60,119,34,111,64,75,13,75,88,92,15,16,32,56,286,.409,.504,.306,.853,.544,.483,G,whitede01"
"575,Marty Conlon,1.8,1.8,1996-97,29,BOS,74,15,1614,214,454,212,444,2,10,144,171,128,195,323,104,46,18,109,154,574,.471,.477,.200,.842,.542,.474,F-C,conloma01"
"576,Arnie Risen,1.8,1.8,1957-58,33,BOS,63,,1119,134,397,134,397,,,114,167,,,360,50,,,,195,382,.338,.338,,.683,.406,.338,C-F,risenar01"
"577,Avery Bradley,1.8,1.8,2013-14,23,BOS,60,58,1855,361,825,282,625,79,200,90,112,48,178,226,85,63,11,96,145,891,.438,.451,.395,.804,.510,.485,G,bradlav01"
"578,Ron Bonham,1.8,1.8,1964-65,22,BOS,37,,369,91,220,91,220,,,92,112,,,78,19,,,,33,274,.414,.414,,.821,.509,.414,F,bonharo01"
"579,Willie Naulls,1.8,1.8,1965-66,31,BOS,71,,1433,328,815,328,815,,,104,131,,,319,72,,,,197,760,.402,.402,,.794,.435,.402,F-C,naullwi01"
"580,Fred Roberts,1.8,1.8,1986-87,26,BOS,73,11,1079,139,270,139,267,0,3,124,153,54,136,190,62,22,20,89,129,402,.515,.521,.000,.810,.596,.515,F-C,roberfr01"
"581,Kevin Stacom,1.8,1.8,1975-76,24,BOS,77,,1114,170,387,170,387,,,68,91,62,99,161,128,23,5,,117,408,.439,.439,,.747,.478,.439,G,stacoke01"
"582,Red Morrison,1.7,1.7,1954-55,22,BOS,71,,1227,120,284,120,284,,,72,115,,,451,82,,,,222,312,.423,.423,,.626,.466,.423,F-C,morrire01"
"583,Greg Minor,1.7,1.7,1997-98,26,BOS,69,16,1126,140,321,134,290,6,31,59,86,55,95,150,88,53,11,43,100,345,.436,.462,.194,.686,.481,.445,G-F,minorgr01"
"584,Leon Powe,1.7,1.7,2006-07,23,BOS,63,2,720,79,177,79,175,0,2,106,144,97,118,215,10,14,22,47,104,264,.446,.451,.000,.736,.549,.446,F,powele01"
"585,Johnny Simmons,1.7,1.7,1946-47,22,BOS,60,,,120,429,120,429,,,78,127,,,,29,,,,78,318,.280,.280,,.614,.328,.280,G,simmojo01"
"586,Steve Kuberski,1.7,1.7,1973-74,26,BOS,78,,985,157,368,157,368,,,86,111,96,141,237,38,7,7,,125,400,.427,.427,,.775,.480,.427,F-C,kuberst01"
"587,Steve Kuberski,1.7,1.7,1971-72,24,BOS,71,,1128,185,444,185,444,,,80,102,,,320,46,,,,130,450,.417,.417,,.784,.460,.417,F-C,kuberst01"
"588,Gerald Henderson,1.7,1.7,1979-80,24,BOS,76,2,1061,191,382,189,376,2,6,89,129,37,46,83,147,45,15,109,96,473,.500,.503,.333,.690,.539,.503,G,hendege01"
"589,Em Bryant,1.7,1.7,1969-70,31,BOS,71,,1617,210,520,210,520,,,135,181,,,269,231,,,,201,555,.404,.404,,.746,.463,.404,G,bryanem01"
"590,Antoine Walker,1.7,1.7,1996-97,20,BOS,82,68,2970,576,1354,524,1195,52,159,231,366,288,453,741,262,105,53,230,271,1435,.425,.438,.327,.631,.474,.445,F,walkean02"
"591,Johnny Ezersky,1.7,1.7,1948-49,26,BOS,18,,,68,185,68,185,,,49,80,,,,29,,,,49,185,.368,.368,,.613,.420,.368,F-G,ezersjo01"
"592,Tyler Zeller,1.7,1.7,2015-16,26,BOS,60,3,710,138,290,138,290,0,0,88,108,62,116,178,29,10,22,46,97,364,.476,.476,,.815,.539,.476,F-C,zellety01"
"593,Jo Jo White,1.7,1.7,1977-78,31,BOS,46,,1641,289,690,289,690,,,103,120,53,127,180,209,49,7,117,109,681,.419,.419,,.858,.458,.419,G,whitejo01"
"594,Chuck Cooper,1.7,1.7,1952-53,26,BOS,70,,1994,157,466,157,466,,,144,190,,,439,112,,,,258,458,.337,.337,,.758,.417,.337,F,coopech01"
"595,Chick Halbert,1.7,1.7,1948-49,29,BOS,33,,,99,338,99,338,,,112,188,,,,61,,,,97,310,.293,.293,,.596,.368,.293,C,halbech01"
"596,Rodney Rogers,1.7,1.7,2001-02,30,BOS,27,1,626,107,222,68,127,39,95,35,50,34,73,107,40,16,12,42,78,288,.482,.535,.411,.700,.590,.570,F,rogerro01"
"597,Tony Allen,1.7,1.7,2005-06,24,BOS,51,9,978,129,274,118,240,11,34,100,134,32,79,111,67,51,18,67,126,369,.471,.492,.324,.746,.554,.491,G-F,allento01"
"598,Clyde Lovellette,1.6,1.6,1962-63,33,BOS,61,,568,161,376,161,376,,,73,98,,,177,27,,,,137,395,.428,.428,,.745,.471,.428,C-F,lovelcl01"
"599,Glen Davis,1.6,1.6,2009-10,24,BOS,54,1,933,122,279,122,275,0,4,96,138,101,104,205,35,21,14,53,132,340,.437,.444,.000,.696,.500,.437,F-C,davisgl01"
"600,Vin Baker,1.6,1.6,2002-03,31,BOS,52,9,942,99,207,99,203,0,4,72,107,90,108,198,29,22,30,61,146,270,.478,.488,.000,.673,.531,.478,F,bakervi01"
"601,Bob Doll,1.6,1.6,1949-50,30,BOS,47,,,120,347,120,347,,,75,114,,,,108,,,,117,315,.346,.346,,.658,.397,.346,F-C,dollbo01"
"602,Eric Williams,1.6,1.6,1995-96,23,BOS,64,6,1470,241,546,238,536,3,10,200,298,92,125,217,70,56,11,88,147,685,.441,.444,.300,.671,.506,.444,F,willier01"
"603,Tiny Archibald,1.6,1.6,1978-79,30,BOS,69,,1662,259,573,259,573,,,242,307,25,78,103,324,55,6,197,132,760,.452,.452,,.788,.537,.452,G,architi01"
"604,Jack Nichols,1.6,1.6,1954-55,28,BOS,64,,1910,249,656,249,656,,,138,177,,,533,144,,,,238,636,.380,.380,,.780,.433,.380,C-F,nichoja01"
"605,Tony Allen,1.6,1.6,2008-09,27,BOS,46,2,887,137,284,131,257,6,27,79,109,22,82,104,66,54,23,77,98,359,.482,.510,.222,.725,.541,.493,G-F,allento01"
"606,Gerald Green,1.6,1.6,2006-07,21,BOS,81,26,1780,310,739,215,481,95,258,128,159,68,140,208,83,41,24,120,198,843,.419,.447,.368,.805,.521,.484,G-F,greenge01"
"607,Quinn Buckner,1.6,1.6,1982-83,28,BOS,72,56,1565,248,561,248,557,0,4,74,117,62,125,187,275,108,5,159,195,570,.442,.445,.000,.632,.465,.442,G,bucknqu01"
"608,Wally Szczerbiak,1.6,1.6,2006-07,29,BOS,32,19,900,161,388,117,282,44,106,113,126,16,82,98,55,18,3,54,65,479,.415,.415,.415,.897,.540,.472,F,szczewa02"
"609,Daniel Theis,1.6,1.6,2021-22,29,BOS,21,6,393,67,112,57,84,10,28,22,32,27,71,98,21,9,14,15,49,166,.598,.679,.357,.688,.658,.643,C,theisda01"
"610,Grant Williams,1.6,1.6,2019-20,21,BOS,69,5,1043,87,211,63,115,24,96,39,54,59,119,178,68,30,36,50,163,237,.412,.548,.250,.722,.505,.469,F,willigr01"
"611,Harold Kottman,1.6,1.6,1946-47,24,BOS,53,,,59,188,59,188,,,47,101,,,,17,,,,58,165,.314,.314,,.465,.355,.314,C,kottmha01"
"612,Jonas Jerebko,1.5,1.5,2014-15,27,BOS,29,0,527,78,181,52,117,26,64,25,30,46,94,140,30,19,7,18,58,207,.431,.444,.406,.833,.533,.503,F,jerebjo01"
"613,Ernie Barrett,1.5,1.5,1955-56,26,BOS,72,,1451,207,533,207,533,,,93,118,,,243,174,,,,184,507,.388,.388,,.788,.433,.388,G-F,barreer01"
"614,Jeff Green,1.5,1.5,2010-11,24,BOS,26,2,612,98,202,90,175,8,27,50,63,16,70,86,19,13,16,23,68,254,.485,.514,.296,.794,.553,.505,F,greenje02"
"615,Joe Kleine,1.5,1.5,1992-93,31,BOS,78,3,1129,108,267,108,261,0,6,41,58,113,233,346,39,17,17,37,123,257,.404,.414,.000,.707,.439,.404,C,kleinjo01"
"616,Chucky Atkins,1.5,1.5,2003-04,29,BOS,24,24,793,104,249,65,138,39,111,42,54,3,42,45,128,26,1,44,42,289,.418,.471,.351,.778,.530,.496,G,atkinch01"
"617,Bob Kinney,1.5,1.5,1948-49,28,BOS,21,,,75,224,75,224,,,54,91,,,,26,,,,89,204,.335,.335,,.593,.386,.335,C-F,kinnebo01"
"618,Jaylen Brown,1.5,1.5,2016-17,20,BOS,78,20,1341,192,423,146,288,46,135,85,124,45,175,220,64,35,18,68,142,515,.454,.507,.341,.685,.539,.508,F-G,brownja02"
"619,Andy Phillip,1.5,1.5,1957-58,35,BOS,70,,1164,97,273,97,273,,,42,71,,,158,121,,,,121,236,.355,.355,,.592,.388,.355,G-F,phillan01"
"620,Mel Counts,1.5,1.5,1964-65,23,BOS,54,,572,100,272,100,272,,,58,74,,,265,19,,,,134,258,.368,.368,,.784,.424,.368,C-F,countme01"
"621,Tyus Edney,1.4,1.4,1997-98,24,BOS,52,7,623,93,216,90,206,3,10,88,111,20,35,55,139,51,1,66,69,277,.431,.437,.300,.793,.523,.438,G,edneyty01"
"622,Art Spector,1.4,1.4,1946-47,26,BOS,55,,,123,460,123,460,,,83,150,,,,46,,,,130,329,.267,.267,,.553,.313,.267,F,spectar01"
"623,Eddie House,1.4,1.4,2009-10,31,BOS,50,0,846,129,322,65,155,64,167,36,40,7,62,69,48,28,7,27,61,358,.401,.419,.383,.900,.527,.500,G,houseed01"
"624,Lou Tsioropoulos,1.4,1.4,1957-58,27,BOS,70,,1819,198,624,198,624,,,142,207,,,434,112,,,,242,538,.317,.317,,.686,.376,.317,F,tsiorlo01"
"625,Terry Rozier,1.4,1.4,2016-17,22,BOS,74,0,1263,151,411,94,232,57,179,51,66,40,187,227,131,46,11,47,69,410,.367,.405,.318,.773,.466,.437,G,roziete01"
"626,Semih Erden,1.4,1.4,2010-11,24,BOS,37,7,531,58,97,58,97,0,0,34,54,31,76,107,19,13,21,32,92,150,.598,.598,,.630,.621,.598,C,erdense01"
"627,Paul Westphal,1.4,1.4,1972-73,22,BOS,60,,482,89,212,89,212,,,67,86,,,67,69,,,,88,245,.420,.420,,.779,.490,.420,G,westppa01"
"628,Shane Larkin,1.4,1.4,2017-18,25,BOS,54,2,775,84,219,53,133,31,86,32,37,15,77,92,98,29,2,33,58,231,.384,.398,.360,.865,.491,.454,G,larkish01"
"629,Chris Johnson,1.4,1.4,2013-14,23,BOS,40,0,789,85,214,42,87,43,127,37,43,31,66,97,31,27,4,22,63,250,.397,.483,.339,.860,.537,.498,F-G,johnsch04"
"630,Jim Paxson,1.4,1.4,1989-90,32,BOS,72,25,1283,191,422,186,402,5,20,73,90,24,53,77,137,33,5,54,115,460,.453,.463,.250,.811,.498,.459,G-F,paxsoji02"
"631,Kendrick Perkins,1.4,1.4,2006-07,22,BOS,72,53,1576,132,269,132,266,0,3,60,100,113,259,372,94,23,96,113,214,324,.491,.496,.000,.600,.518,.491,C,perkike01"
"632,Marcus Thornton,1.4,1.4,2014-15,27,BOS,39,0,640,127,305,75,181,52,124,42,51,19,54,73,34,21,7,22,35,348,.416,.414,.419,.824,.531,.502,G,thornma01"
"633,Jerryd Bayless,1.4,1.4,2013-14,25,BOS,41,14,1036,158,378,107,249,51,129,49,61,14,72,86,128,40,4,60,89,416,.418,.430,.395,.803,.514,.485,G,bayleje01"
"634,Kenny Anderson,1.4,1.4,1997-98,27,BOS,16,16,386,64,147,54,120,10,27,41,49,3,36,39,100,26,0,29,36,179,.435,.450,.370,.837,.531,.469,G,anderke01"
"635,Xavier McDaniel,1.4,1.4,1994-95,31,BOS,68,15,1430,246,546,240,525,6,21,89,125,94,206,300,108,30,20,89,146,587,.451,.457,.286,.712,.488,.456,F,mcdanxa01"
"636,Enes Freedom,1.4,1.4,2021-22,29,BOS,35,1,411,51,97,49,92,2,5,24,28,61,99,160,8,5,14,20,42,128,.526,.533,.400,.857,.585,.536,C,kanteen01"
"637,Tom Kelly,1.4,1.4,1948-49,24,BOS,27,,,73,218,73,218,,,45,73,,,,38,,,,73,191,.335,.335,,.616,.382,.335,G,kellyto01"
"638,Mark Blount,1.4,1.4,2002-03,27,BOS,27,7,518,45,80,45,80,0,0,30,40,49,76,125,21,20,17,33,75,120,.563,.563,,.750,.615,.563,C,blounma01"
"639,Quinn Buckner,1.3,1.3,1983-84,29,BOS,79,0,1249,138,323,138,317,0,6,48,74,41,96,137,214,84,3,100,187,324,.427,.435,.000,.649,.456,.427,G,bucknqu01"
"640,Chris Wilcox,1.3,1.3,2011-12,29,BOS,28,4,481,64,107,64,107,0,0,24,39,38,84,122,12,11,9,30,64,152,.598,.598,,.615,.612,.598,F,wilcoch01"
"641,Eric Montross,1.3,1.3,1995-96,24,BOS,61,59,1432,196,346,196,346,0,0,50,133,119,233,352,43,19,29,83,181,442,.566,.566,,.376,.546,.566,C,montrer01"
"642,Dee Brown,1.3,1.3,1997-98,29,BOS,41,10,811,109,255,66,142,43,113,19,28,10,52,62,53,44,6,32,76,280,.427,.465,.381,.679,.524,.512,G,brownde01"
"643,Clyde Lovellette,1.3,1.3,1963-64,34,BOS,45,,437,128,305,128,305,,,45,57,,,126,24,,,,100,301,.420,.420,,.789,.456,.420,C-F,lovelcl01"
"644,Ed Leede,1.3,1.3,1950-51,23,BOS,57,,,119,370,119,370,,,140,189,,,118,95,,,,144,378,.322,.322,,.741,.417,.322,F-G,leedeed01"
"645,Mikki Moore,1.3,1.3,2008-09,33,BOS,24,0,456,51,85,51,85,0,0,14,19,31,75,106,25,4,5,21,96,116,.600,.600,,.737,.621,.600,C-F,mooremi01"
"646,Romeo Langford,1.3,1.3,2021-22,22,BOS,44,5,728,79,184,50,101,29,83,20,34,30,74,104,19,21,16,16,46,207,.429,.495,.349,.588,.520,.508,G,langfro01"
"647,Ron Mercer,1.3,1.3,1998-99,22,BOS,41,40,1551,305,707,300,677,5,30,83,105,37,118,155,104,67,12,89,81,698,.431,.443,.167,.790,.463,.435,G-F,mercero01"
"648,Jim Paxson,1.3,1.3,1988-89,31,BOS,57,7,1138,202,445,198,421,4,24,84,103,18,56,74,107,38,8,57,96,492,.454,.470,.167,.816,.502,.458,G-F,paxsoji02"
"649,Gerald Wallace,1.3,1.3,2013-14,31,BOS,58,16,1416,116,230,97,166,19,64,47,101,36,176,212,143,73,14,97,79,298,.504,.584,.297,.465,.543,.546,F,wallage01"
"650,Gerald Henderson,1.3,1.3,1980-81,25,BOS,82,10,1608,261,579,260,563,1,16,113,157,43,89,132,213,79,12,160,177,636,.451,.462,.063,.720,.491,.452,G,hendege01"
"651,Marquis Daniels,1.3,1.3,2009-10,29,BOS,51,4,937,124,249,118,221,6,28,34,56,27,68,95,66,27,6,42,91,288,.498,.534,.214,.607,.526,.510,G-F,daniema01"
"652,Wayne Embry,1.2,1.2,1966-67,29,BOS,72,,729,147,359,147,359,,,82,144,,,294,42,,,,137,376,.409,.409,,.569,.445,.409,C-F,embrywa01"
"653,Semi Ojeleye,1.2,1.2,2020-21,26,BOS,56,15,950,89,221,31,63,58,158,24,32,31,116,147,37,17,0,21,56,260,.403,.492,.367,.750,.553,.534,F,ojelese01"
"654,Eric Williams,1.2,1.2,2003-04,31,BOS,21,0,513,77,177,66,145,11,32,78,109,21,74,95,25,22,1,31,52,243,.435,.455,.344,.716,.540,.466,F,willier01"
"655,Art Williams,1.2,1.2,1973-74,34,BOS,67,,617,73,168,73,168,,,27,32,20,95,115,163,44,3,,100,173,.435,.435,,.844,.475,.435,G,williar01"
"656,Scott Wedman,1.2,1.2,1983-84,31,BOS,68,5,916,148,333,146,320,2,13,29,35,41,98,139,67,27,7,43,107,327,.444,.456,.154,.829,.469,.447,F-G,wedmasc01"
"657,Hank Finkel,1.2,1.2,1972-73,30,BOS,76,,496,78,173,78,173,,,28,52,,,151,26,,,,83,184,.451,.451,,.538,.470,.451,C,finkeha01"
"658,Joe Kleine,1.2,1.2,1990-91,29,BOS,72,1,850,102,218,102,216,0,2,54,69,71,173,244,21,15,14,53,108,258,.468,.472,.000,.783,.519,.468,C,kleinjo01"
"659,Steve Kuberski,1.2,1.2,1972-73,25,BOS,78,,762,140,347,140,347,,,65,84,,,197,26,,,,92,345,.403,.403,,.774,.449,.403,F-C,kuberst01"
"660,Mickaël Piétrus,1.2,1.2,2011-12,29,BOS,42,6,921,104,270,43,88,61,182,20,31,18,112,130,25,21,10,33,81,289,.385,.489,.335,.645,.509,.498,G-F,pietrmi01"
"661,Fred Saunders,1.2,1.2,1976-77,25,BOS,68,,1051,184,395,184,395,,,35,53,73,150,223,85,26,7,,191,403,.466,.466,,.660,.482,.466,F,saundfr01"
"662,Eric Fernsten,1.2,1.2,1979-80,26,BOS,56,0,431,71,153,71,153,0,0,33,52,40,56,96,28,17,12,20,43,175,.464,.464,,.635,.497,.464,C-F,fernser01"
"663,Robert Williams,1.2,1.2,2018-19,21,BOS,32,2,283,36,51,36,51,0,0,9,15,27,54,81,7,9,40,10,36,81,.706,.706,,.600,.703,.706,C-F,williro04"
