"Rk,Player,WS,WS,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional"
"488,Sonny Hertzberg,2.5,2.5,1950-51,28,BOS,65,,,206,651,206,651,,,223,270,,,260,244,,,,156,635,.316,.316,,.826,.412,.316,G,hertzso01"
"489,Dennis Johnson,2.5,2.5,1988-89,34,BOS,72,72,2309,277,638,270,588,7,50,160,195,31,159,190,472,94,21,175,211,721,.434,.459,.140,.821,.498,.440,G,johnsde01"
"490,Charlie Scott,2.5,2.5,1976-77,28,BOS,43,,1581,326,734,326,734,,,129,173,52,139,191,196,60,12,,155,781,.444,.444,,.746,.482,.444,G-F,scottch01"
"491,Kenny Anderson,2.4,2.4,1998-99,28,BOS,34,33,1010,161,357,155,333,6,24,84,101,24,79,103,193,33,2,71,78,412,.451,.465,.250,.832,.513,.459,G,anderke01"
"492,Rajon Rondo,2.4,2.4,2006-07,20,BOS,78,25,1831,188,450,182,421,6,29,119,184,74,218,292,297,128,8,137,181,501,.418,.432,.207,.647,.472,.424,G,rondora01"
"493,Dana Barros,2.4,2.4,1999-00,32,BOS,72,0,1139,196,435,137,291,59,144,66,76,13,86,99,133,31,4,66,80,517,.451,.471,.410,.868,.552,.518,G,barroda01"
"494,Jerry Kelly,2.4,2.4,1946-47,28,BOS,43,,,91,313,91,313,,,74,111,,,,21,,,,128,256,.291,.291,,.667,.354,.291,F,kellyje01"
"495,Derek Strong,2.4,2.4,1994-95,26,BOS,70,24,1344,149,329,147,322,2,7,141,172,136,239,375,44,24,13,79,143,441,.453,.457,.286,.820,.545,.456,F,stronde01"
"496,Dee Brown,2.4,2.4,1995-96,27,BOS,65,23,1591,246,616,178,396,68,220,135,158,36,100,136,146,80,12,74,119,695,.399,.449,.309,.854,.507,.455,G,brownde01"
"497,Avery Bradley,2.4,2.4,2011-12,21,BOS,64,28,1368,200,402,178,348,22,54,62,78,34,81,115,87,43,12,75,109,484,.498,.511,.407,.795,.555,.525,G,bradlav01"
"498,Tom Boswell,2.4,2.4,1976-77,23,BOS,70,,1083,175,340,175,340,,,96,135,111,195,306,85,27,8,,237,446,.515,.515,,.711,.558,.515,F-C,bosweto01"
"499,Jordan Crawford,2.4,2.4,2013-14,25,BOS,39,35,1198,188,455,138,298,50,157,110,126,18,102,120,224,34,3,84,76,536,.413,.463,.318,.873,.525,.468,G,crawfjo02"
"500,George Kaftan,2.4,2.4,1948-49,20,BOS,21,,,116,315,116,315,,,72,115,,,,61,,,,28,304,.368,.368,,.626,.416,.368,F,kaftage01"
"501,Jonas Jerebko,2.4,2.4,2015-16,28,BOS,78,0,1176,118,286,75,178,43,108,61,78,77,211,288,62,20,24,52,137,340,.413,.421,.398,.782,.531,.488,F,jerebjo01"
"502,Tom Sanders,2.4,2.4,1971-72,33,BOS,82,,1631,215,524,215,524,,,111,136,,,353,98,,,,257,541,.410,.410,,.816,.463,.410,F,sandeto01"
"503,Aron Baynes,2.4,2.4,2018-19,32,BOS,51,18,821,105,223,84,162,21,61,53,62,88,152,240,57,12,34,40,125,284,.471,.519,.344,.855,.567,.518,C,baynear01"
"504,Gerald Henderson,2.3,2.3,1982-83,27,BOS,82,9,1551,286,618,283,602,3,16,96,133,57,67,124,195,95,3,128,190,671,.463,.470,.188,.722,.496,.465,G,hendege01"
"505,Joe Kleine,2.3,2.3,1989-90,28,BOS,81,4,1365,176,367,176,363,0,4,83,100,117,238,355,46,15,27,64,170,435,.480,.485,.000,.830,.529,.480,C,kleinjo01"
"506,Hank Finkel,2.3,2.3,1970-71,28,BOS,80,,1234,214,489,214,489,,,93,127,,,343,79,,,,196,521,.438,.438,,.732,.478,.438,C,finkeha01"
"507,Al Jefferson,2.3,2.3,2005-06,21,BOS,59,7,1062,189,379,189,375,0,4,86,134,97,202,299,30,30,46,62,166,464,.499,.504,.000,.642,.530,.499,C-F,jeffeal01"
"508,Don Barksdale,2.3,2.3,1953-54,30,BOS,63,,1358,156,415,156,415,,,149,225,,,345,117,,,,213,461,.376,.376,,.662,.448,.376,F-C,barksdo01"
"509,Rick Fox,2.3,2.3,1991-92,22,BOS,81,5,1535,241,525,218,455,23,70,139,184,73,147,220,126,78,30,123,230,644,.459,.479,.329,.755,.531,.481,F-G,foxri01"
"510,Tony Battie,2.3,2.3,2000-01,24,BOS,40,25,845,108,201,108,198,0,3,44,69,73,160,233,16,27,60,37,126,260,.537,.545,.000,.638,.562,.537,C-F,battito01"
"511,Gene Englund,2.3,2.3,1949-50,32,BOS,24,,,55,148,55,148,,,86,106,,,,17,,,,97,196,.372,.372,,.811,.503,.372,F-C,engluge01"
"512,Jerry Sichting,2.3,2.3,1986-87,30,BOS,78,15,1566,202,398,195,372,7,26,37,42,22,69,91,187,40,1,61,124,448,.508,.524,.269,.881,.538,.516,G,sichtje01"
"513,Xavier McDaniel,2.3,2.3,1993-94,30,BOS,82,5,1971,387,839,377,798,10,41,144,213,142,258,400,126,48,39,116,193,928,.461,.472,.244,.676,.497,.467,F,mcdanxa01"
"514,Kendrick Perkins,2.3,2.3,2005-06,21,BOS,68,40,1332,137,266,137,264,0,2,80,130,140,264,404,69,21,105,107,199,354,.515,.519,.000,.615,.548,.515,C,perkike01"
"515,Wyndol Gray,2.2,2.2,1946-47,24,BOS,55,,,139,476,139,476,,,72,124,,,,47,,,,105,350,.292,.292,,.581,.330,.292,G-F,graywy01"
"516,Mel Riebe,2.2,2.2,1947-48,31,BOS,48,,,202,653,202,653,,,85,137,,,,41,,,,137,489,.309,.309,,.620,.343,.309,G-F,riebeme01"
"517,Eric Williams,2.2,2.2,2001-02,29,BOS,74,30,1747,144,385,120,299,24,86,160,219,58,163,221,109,77,8,95,179,472,.374,.401,.279,.731,.490,.405,F,willier01"
